name,flag,description,source,header,cfg,is_analysis
AddDiscriminatorsPass,-add-discriminators,Add DWARF path discriminators,lib/Transforms/Utils/AddDiscriminators.cpp,,False,False
AggressiveDCEPass,-adce,Aggressive Dead Code Elimination,lib/Transforms/Scalar/ADCE.cpp,,False,False
AlignmentFromAssumptionsPass,-alignment-from-assumptions,Alignment from assumptions,lib/Transforms/Scalar/AlignmentFromAssumptions.cpp,,False,False
AlwaysInlinerLegacyPass,-always-inline,Inliner for always_inline functions,lib/Transforms/IPO/AlwaysInliner.cpp,,False,False
Annotation2MetadataLegacy,-annotation2metadata,Annotation2Metadata,lib/Transforms/IPO/Annotation2Metadata.cpp,,False,False
AssumeBuilderPassLegacyPass,-assume-builder,Assume Builder,lib/Transforms/Utils/AssumeBundleBuilder.cpp,,False,False
AssumeSimplifyPassLegacyPass,-assume-simplify,Assume Simplify,lib/Transforms/Utils/AssumeBundleBuilder.cpp,,False,False
AttributorCGSCCLegacyPass,-attributor-cgscc,Deduce and propagate attributes (CGSCC pass),lib/Transforms/IPO/Attributor.cpp,,False,False
AttributorLegacyPass,-attributor,Deduce and propagate attributes,lib/Transforms/IPO/Attributor.cpp,,False,False
BarrierNoopPass,-barrier,A No-Op Barrier Pass,lib/Transforms/IPO/BarrierNoopPass.cpp,,False,False
BitTrackingDCEPass,-bdce,Bit-Tracking Dead Code Elimination,lib/Transforms/Scalar/BDCE.cpp,,False,False
BreakCriticalEdgesPass,-break-crit-edges,Break critical edges in CFG,lib/Transforms/Utils/BreakCriticalEdges.cpp,,False,False
CFGSimplificationPass,-simplifycfg,Simplify the CFG,lib/Transforms/Scalar/SimplifyCFGPass.cpp,,False,False
CallSiteSplittingPass,-callsite-splitting,Call-site splitting,lib/Transforms/Scalar/CallSiteSplitting.cpp,,False,False
CalledValuePropagationPass,-called-value-propagation,Called Value Propagation,lib/Transforms/IPO/CalledValuePropagation.cpp,,False,False
CanonicalizeFreezeInLoops,-canon-freeze,Canonicalize Freeze Instructions in Loops,lib/Transforms/Utils/CanonicalizeFreezeInLoops.cpp,,False,False
ConstantHoistingPass,-consthoist,Constant Hoisting,lib/Transforms/Scalar/ConstantHoisting.cpp,,False,False
ConstantMergePass,-constmerge,Merge Duplicate Global Constants,lib/Transforms/IPO/ConstantMerge.cpp,,False,False
CorrelatedValuePropagationPass,-correlated-propagation,Value Propagation,lib/Transforms/Scalar/CorrelatedValuePropagation.cpp,,False,False
CrossDSOCFIPass,-cross-dso-cfi,Cross-DSO CFI,lib/Transforms/IPO/CrossDSOCFI.cpp,,False,False
DFAJumpThreadingLegacyPass,-dfa-jump-threading,DFA Jump Threading,lib/Transforms/Scalar/DFAJumpThreading.cpp,,False,False
DeadArgEliminationPass,-deadargelim,Dead Argument Elimination,lib/Transforms/IPO/DeadArgumentElimination.cpp,,False,False
DeadCodeEliminationPass,-dce,Dead Code Elimination,lib/Transforms/Scalar/DCE.cpp,,False,False
DeadStoreEliminationPass,-dse,Dead Store Elimination,lib/Transforms/Scalar/DeadStoreElimination.cpp,,False,False
DivRemPairsPass,-div-rem-pairs,Hoist/decompose integer division and remainder,lib/Transforms/Scalar/DivRemPairs.cpp,,False,False
EarlyCSEMemSSAPass,-early-cse-memssa,Early CSE w/ MemorySSA,lib/Transforms/Scalar/EarlyCSE.cpp,,False,False
EarlyCSEPass,-early-cse,Early CSE,lib/Transforms/Scalar/EarlyCSE.cpp,,False,False
EliminateAvailableExternallyPass,-elim-avail-extern,Eliminate Available Externally Globals,lib/Transforms/IPO/ElimAvailExtern.cpp,,False,False
FixIrreducible,-fix-irreducible,Convert irreducible control-flow into natural loops,lib/Transforms/Utils/FixIrreducible.cpp,,False,False
FlattenCFGLegacyPass,-flattencfg,Flatten the CFG,lib/Transforms/Scalar/FlattenCFGPass.cpp,,False,False
Float2IntPass,-float2int,Float to int,lib/Transforms/Scalar/Float2Int.cpp,,False,False
ForceFunctionAttrsLegacyPass,-forceattrs,Force set function attributes,lib/Transforms/IPO/ForceFunctionAttrs.cpp,,False,False
FunctionInliningPass,-inline,Function Integration/Inlining,lib/Transforms/IPO/InlineSimple.cpp,,False,False
GVNHoistPass,-gvn-hoist,Early GVN Hoisting of Expressions,lib/Transforms/Scalar/GVNHoist.cpp,,False,False
GVNPass,-gvn,Global Value Numbering,lib/Transforms/Scalar/GVN.cpp,,False,False
GlobalDCEPass,-globaldce,Dead Global Elimination,lib/Transforms/IPO/GlobalDCE.cpp,,False,False
GlobalOptimizerPass,-globalopt,Global Variable Optimizer,lib/Transforms/IPO/GlobalOpt.cpp,,False,False
GlobalSplitPass,-globalsplit,Global splitter,lib/Transforms/IPO/GlobalSplit.cpp,,False,False
GuardWideningPass,-guard-widening,Widen guards,lib/Transforms/Scalar/GuardWidening.cpp,,False,False
HotColdSplittingPass,-hotcoldsplit,Hot Cold Splitting,lib/Transforms/IPO/HotColdSplitting.cpp,,False,False
IPSCCPPass,-ipsccp,Interprocedural Sparse Conditional Constant Propagation,lib/Transforms/IPO/SCCP.cpp,,False,False
IROutlinerLegacyPass,-iroutliner,IR Outliner,lib/Transforms/IPO/IROutliner.cpp,,False,False
IndVarSimplifyPass,-indvars,Induction Variable Simplification,lib/Transforms/Scalar/IndVarSimplify.cpp,,False,False
InductiveRangeCheckEliminationPass,-irce,Inductive range check elimination,lib/Transforms/Scalar/InductiveRangeCheckElimination.cpp,,False,False
InferAddressSpacesPass,-infer-address-spaces,Infer address spaces,lib/Transforms/Scalar/InferAddressSpaces.cpp,,False,False
InferFunctionAttrsLegacyPass,-inferattrs,Infer set function attributes,lib/Transforms/IPO/InferFunctionAttrs.cpp,,False,False
InjectTLIMappingsLegacyPass,-inject-tli-mappings,Inject TLI Mappings,lib/Transforms/Utils/InjectTLIMappings.cpp,,False,False
